country	Local Price	$ Price	$ Exchange Rate	Dollar PPP	$ Valuation (%)	
Argentina	2.5	2.5	1	1.03	2.8806584362139915	
Australia	2.65	1.66	1.59	1.09	-31.68724279835392	
Brazil	2.95	1.71	1.73	1.21	-29.629629629629633	
Britain	1.9	3.07	0.6211180124223602	0.78125	26.337448559670776	
Canada	2.99	1.98	1.51	1.23	-18.51851851851852	
Chile	1259	2.6	484	518	6.995884773662553	
China	9.9	1.2	8.28	4.07	-50.617283950617285	
Czech.Rep	54.83215	1.85	29.639	20.848726235741445	-23.86831275720165	
Denmark	24.75	3.58	6.91	10.19	47.32510288065842	
France	17.5	2.87	6.1	7.2	18.106995884773667	
Germany	4.95	2.72	1.82	2.04	11.934156378600818	
Greece	647.244	2.34	276.6	246.1003802281369	-3.7037037037037237	
Holland	5.45	2.66	2.05	2.24	9.465020576131678	
Hong_Kong	10.2	1.32	7.75	4.2	-45.67901234567901	
Hungary	299	1.26	237	123	-48.14814814814815	
Indonesia	14500	1.66	8725	5967	-31.68724279835392	
Israel	13.9	3.44	4.04	5.72	41.563786008230466	
Italy	4500	2.5	1799	1852	2.8806584362139915	
Japan	294	2.44	120	121	0.41152263374483766	
Malaysia	4.52	1.19	3.8	1.86	-51.028806584362144	
Mexico	19.9	2.09	9.54	8.19	-13.99176954732512	
New_Zealand	3.4	1.82	1.87	1.4	-25.10288065843622	
Philippines	49.077000000000005	1.26	38.95	18.66045627376426	-48.14814814814815	
Poland	5.5	1.38	3.98	2.26	-43.20987654320988	
Russia/Soviet_Union	33.5	1.35	24.7	13.79	-44.44444444444444	
Singapore	3.2	1.85	1.73	1.32	-23.86831275720165	
South_Africa	8.6	1.38	6.22	3.54	-43.20987654320988	
S.Korea	3000	2.46	1218	1235	1.2345679012345556	
Spain	375	2.43	155	154	0.0	
Sweden	24	2.88	8.32	9.88	18.518518518518505	
Switzerland	5.9	3.97	1.48	2.43	63.374485596707814	
Taiwan	70	2.11	33.2	28.8	-13.168724279835402	
Thailand	52	1.38	37.6	21.4	-43.20987654320988	
Turkey	600122.6	1.96	306185	228183.4980988593	-19.341563786008237	
United_States	2.43	2.43	1	1	0.0	
Venezuela	1869.9615	3.33	561.55	711.0119771863118	37.03703703703701	
Euro_Area	2.52	2.71	0.9259259259259258	0.9581749049429659	11.522633744855966	
Colombia	3495.24	2.28	1533	1328.9885931558936	-6.172839506172849	
Saudi_Arabia	8.9879088	2.4	3.745	3.4174558174904943	-1.2345679012345698	
